"state_name","county_name","Latest","Oldest"
"MINNESOTA","ROSEAU",2016,1977
"NORTH DAKOTA","LOGAN",2016,1976
"NORTH DAKOTA","MOUNTRAIL",2016,1977
"NORTH DAKOTA","RAMSEY",2016,1976
"NORTH DAKOTA","RANSOM",2016,1976
"SOUTH DAKOTA","HAAKON",2016,1977
"SOUTH DAKOTA","HARDING",2016,1977
"SOUTH DAKOTA","JACKSON",2016,1979
"SOUTH DAKOTA","JONES",2016,1979
"SOUTH DAKOTA","MEADE",2016,1979
"SOUTH DAKOTA","SULLY",2016,1977
"TEXAS","HALE",2016,1977
"MINNESOTA","STEVENS",2015,1977
"NORTH DAKOTA","EDDY",2015,1976
"SOUTH DAKOTA","LYMAN",2015,1978
"SOUTH DAKOTA","SPINK",2015,1977
"TEXAS","JIM WELLS",2015,1995
"TEXAS","LAMB",2015,1977
"TEXAS","LYNN",2015,1977
"TEXAS","NAVARRO",2015,1979
"TEXAS","SHERMAN",2015,1977
"COLORADO","KIT CARSON",2014,1991
"KANSAS","GRANT",2014,1991
"MINNESOTA","MARSHALL",2014,1977
"NORTH DAKOTA","MCHENRY",2014,1976
"SOUTH DAKOTA","PERKINS",2014,1977
"SOUTH DAKOTA","STANLEY",2014,1979
"SOUTH DAKOTA","WALWORTH",2014,1977
"COLORADO","YUMA",2013,1991
"KANSAS","SALINE",2013,1994
"NORTH DAKOTA","KIDDER",2013,1976
"SOUTH DAKOTA","GREGORY",2013,1979
"SOUTH DAKOTA","JERAULD",2013,1984
"TEXAS","DEAF SMITH",2013,1977
"KANSAS","CLOUD",2012,1994
"KANSAS","JEWELL",2012,1994
"KANSAS","SHERMAN",2012,1990
"NEBRASKA","DAWES",2012,2000
"NEBRASKA","KIMBALL",2012,1992
"SOUTH DAKOTA","BRULE",2012,1977
"SOUTH DAKOTA","CORSON",2012,1977
"SOUTH DAKOTA","HYDE",2012,1979
"SOUTH DAKOTA","MCPHERSON",2012,1977
"COLORADO","WELD",2011,1991
"KANSAS","FINNEY",2011,1990
"KANSAS","MITCHELL",2011,1994
"KANSAS","OSBORNE",2011,1993
"KANSAS","RAWLINS",2011,1990
"KANSAS","ROOKS",2011,1991
"KANSAS","SCOTT",2011,1993
"KANSAS","SMITH",2011,1993
"KANSAS","STEVENS",2011,1990
"KANSAS","WALLACE",2011,1990
"NEBRASKA","BOX BUTTE",2011,1992
"COLORADO","ELBERT",2010,1991
"KANSAS","OTTAWA",2010,1992
"KANSAS","REPUBLIC",2010,1991
"MINNESOTA","POLK",2010,1977
"MINNESOTA","TODD",2010,1977
"MINNESOTA","WADENA",2010,1977
"NEBRASKA","DEUEL",2010,1992
"COLORADO","ARAPAHOE",2009,1991
"COLORADO","CHEYENNE",2009,1992
"KANSAS","HAMILTON",2009,1991
"KANSAS","NEMAHA",2009,1991
"MINNESOTA","PENNINGTON",2009,1977
"MINNESOTA","RED LAKE",2009,1977
"NEBRASKA","KEITH",2009,1992
"NEBRASKA","PERKINS",2009,1992
"NORTH DAKOTA","TOWNER",2009,1976
"SOUTH DAKOTA","AURORA",2009,1980
"SOUTH DAKOTA","EDMUNDS",2009,1977
"TEXAS","BAILEY",2009,1977
"TEXAS","CASTRO",2009,1977
"TEXAS","DAWSON",2009,1983
"TEXAS","FLOYD",2009,1977
"TEXAS","HOCKLEY",2009,1977
"TEXAS","LIPSCOMB",2009,1977
"TEXAS","LUBBOCK",2009,1977
"TEXAS","YOAKUM",2009,1977
"NORTH DAKOTA","LA MOURE",2008,1976
"SOUTH DAKOTA","BROWN",2008,1977
"SOUTH DAKOTA","CHARLES MIX",2008,1979
"SOUTH DAKOTA","FALL RIVER",2008,2000
"SOUTH DAKOTA","PENNINGTON",2008,1979
"COLORADO","PROWERS",2007,1998
"KANSAS","THOMAS",2007,1990
"MINNESOTA","CLAY",2007,1977
"MINNESOTA","MORRISON",2007,1979
"NEBRASKA","BANNER",2007,1992
"NEBRASKA","CHEYENNE",2007,1992
"NEBRASKA","DUNDY",2007,1992
"NEBRASKA","FRONTIER",2007,1992
"NEBRASKA","HITCHCOCK",2007,1992
"NEBRASKA","RED WILLOW",2007,1992
"NORTH DAKOTA","DICKEY",2007,1976
"NORTH DAKOTA","MCKENZIE",2007,1976
"SOUTH DAKOTA","BEADLE",2007,1977
"TEXAS","COCHRAN",2007,1977
"MINNESOTA","WILKIN",2006,1977
"MINNESOTA","YELLOW MEDICINE",2006,1977
"NEBRASKA","FRANKLIN",2006,1992
"NEBRASKA","GARDEN",2006,1992
"NEBRASKA","HAYES",2006,1992
"NEBRASKA","JEFFERSON",2006,1992
"NEBRASKA","SCOTTS BLUFF",2006,1992
"NEBRASKA","VALLEY",2006,1992
"SOUTH DAKOTA","CLARK",2006,1977
"SOUTH DAKOTA","CODINGTON",2006,1977
"TEXAS","HARTLEY",2006,1977
"COLORADO","LOGAN",2005,1991
"KANSAS","CHEYENNE",2005,1990
"KANSAS","SHERIDAN",2005,1992
"MINNESOTA","BECKER",2005,1977
"NEBRASKA","CHASE",2005,1992
"NEBRASKA","CUSTER",2005,1992
"NEBRASKA","MORRILL",2005,1992
"NEBRASKA","PHELPS",2005,1992
"NEBRASKA","RICHARDSON",2005,1993
"NEBRASKA","THAYER",2005,1992
"NEBRASKA","WEBSTER",2005,1992
"TEXAS","HANSFORD",2005,1977
"TEXAS","MOORE",2005,1977
"TEXAS","OCHILTREE",2005,1998
