".type","ALE","Variable_values","Feature","Dataset","Model Type"
"ale",18.2136240775724,157.836090087891,"Jul_Precip","Train","National"
"ale",-73.8558498443146,542.317687988281,"Jul_Precip","Train","National"
"ale",-29.6508245257856,-0.187564238905907,"May_Tmin","Train","National"
"ale",-29.6508245257856,2.62598133087158,"May_Tmin","Train","National"
"ale",-28.4644730287868,3.43918943405151,"May_Tmin","Train","National"
"ale",-28.4644730287868,3.98093152046204,"May_Tmin","Train","National"
"ale",-28.4644730287868,4.46249961853027,"May_Tmin","Train","National"
"ale",-21.866542307808,4.80415153503418,"May_Tmin","Train","National"
"ale",-18.6469050650489,5.16349267959595,"May_Tmin","Train","National"
"ale",-18.6469050650489,5.47776746749878,"May_Tmin","Train","National"
"ale",-18.6469050650489,5.75564098358154,"May_Tmin","Train","National"
"ale",-18.6469050650489,6.0432538986206,"May_Tmin","Train","National"
"ale",-18.6469050650489,6.32183265686035,"May_Tmin","Train","National"
"ale",-16.8392964373574,6.57790184020996,"May_Tmin","Train","National"
"ale",-5.26270773690007,6.87803173065185,"May_Tmin","Train","National"
"ale",13.3404963855037,7.17176675796509,"May_Tmin","Train","National"
"ale",16.4914463753808,7.47322177886963,"May_Tmin","Train","National"
"ale",19.223413295075,7.81952476501465,"May_Tmin","Train","National"
"ale",51.227143882918,8.25002765655518,"May_Tmin","Train","National"
"ale",51.227143882918,8.79994869232178,"May_Tmin","Train","National"
"ale",51.227143882918,9.53996753692627,"May_Tmin","Train","National"
"ale",51.227143882918,10.8629131317139,"May_Tmin","Train","National"
"ale",26.3742472218032,23.1719989776611,"May_Tmin","Train","National"
"ale",-44.4490740919856,5.75860261917114,"Jun_Tmin","Train","National"
"ale",-44.4490740919856,8.31022262573242,"Jun_Tmin","Train","National"
"ale",-27.5090165700725,8.91393756866455,"Jun_Tmin","Train","National"
"ale",-27.5090165700725,9.36542129516602,"Jun_Tmin","Train","National"
"ale",-5.55675983238669,9.7393741607666,"Jun_Tmin","Train","National"
"ale",-5.55675983238669,10.0767507553101,"Jun_Tmin","Train","National"
"ale",-4.1057040730498,10.3972425460815,"Jun_Tmin","Train","National"
"ale",-4.1057040730498,10.6572704315185,"Jun_Tmin","Train","National"
"ale",-4.1057040730498,10.9134893417358,"Jun_Tmin","Train","National"
"ale",-4.1057040730498,11.2046327590942,"Jun_Tmin","Train","National"
"ale",-4.1057040730498,11.4543342590332,"Jun_Tmin","Train","National"
"ale",-4.1057040730498,11.6802673339844,"Jun_Tmin","Train","National"
"ale",-1.4701263827392,11.9219064712524,"Jun_Tmin","Train","National"
"ale",6.43670382341076,12.1923151016235,"Jun_Tmin","Train","National"
"ale",22.3895009455287,12.5044355392456,"Jun_Tmin","Train","National"
"ale",22.3895009455287,12.8435688018799,"Jun_Tmin","Train","National"
"ale",22.3895009455287,13.2493495941162,"Jun_Tmin","Train","National"
"ale",24.9109849483631,13.8280429840088,"Jun_Tmin","Train","National"
